Fecha,Evento
2019,2019
30 de septiembre,Convocatoria a elecciones
30 de septiembre,Cierre del Padrón Electoral
7 de octubre,Convocatoria a Elecciones
18 de octubre,Fecha límite para presentar ante el ROP la renuncia de afiliados para postular por otra organización política
31 de octubre,Fecha límite para inscripción de alianzas electorales
6 de noviembre,Fecha límite para el periodo de democracia interna
6 de noviembre,Remisión del padrón electoral al JNE
16 de noviembre,Aprobación del padrón electoral
18 de noviembre,Fecha límite para presentación de listas de candidatos
18 de noviembre,Cierre de registro de organizaciones políticas
3 de diciembre,Fecha límite para publicación de listas admitidas
27 de diciembre,"Fecha límite de exclusión de candidatos, renuncia y retiro de candidatos"
2020,2020
26 de enero,Elecciones congresales extraordinarias de 2020
